Direction,Calm     , 2.0  4.9, 5.0  6.9, 7.0  9.9,10.0 14.9,15.0 19.9,20.0+    
355-004  ,15.59    ,    2.056,    0.649,    0.379,    0.670,    0.169,    0.010
005-014  ,         ,    1.782,    0.863,    0.421,    0.574,    0.135,    0.007
015-024  ,         ,    1.628,    1.173,    0.879,    0.920,    0.072,    0.002
025-034  ,         ,    1.499,    1.389,    1.361,    1.356,    0.091,    0.001
035-044  ,         ,    1.022,    1.252,    1.195,    1.729,    0.055,    0.001
045-054  ,         ,    0.531,    0.668,    0.544,    0.651,    0.021,    0.000
055-064  ,         ,    0.373,    0.366,    0.221,    0.286,    0.018,    0.000
065-074  ,         ,    0.399,    0.288,    0.173,    0.112,    0.001,    0.000
075-084  ,         ,    0.384,    0.303,    0.187,    0.104,    0.005,    0.001
085-094  ,         ,    0.330,    0.371,    0.222,    0.124,    0.003,    0.000
095-104  ,         ,    0.307,    0.383,    0.246,    0.129,    0.006,    0.001
105-114  ,         ,    0.340,    0.443,    0.332,    0.200,    0.009,    0.002
115-124  ,         ,    0.392,    0.556,    0.547,    0.370,    0.021,    0.000
125-134  ,         ,    0.580,    0.793,    0.715,    0.523,    0.018,    0.000
135-144  ,         ,    0.666,    1.034,    0.839,    0.577,    0.023,    0.002
145-154  ,         ,    0.708,    1.062,    0.914,    0.596,    0.021,    0.001
155-164  ,         ,    0.758,    1.071,    0.912,    0.647,    0.024,    0.002
165-174  ,         ,    0.903,    1.391,    1.235,    0.835,    0.027,    0.002
175-184  ,         ,    0.950,    1.148,    0.965,    0.641,    0.021,    0.001
185-194  ,         ,    1.128,    1.046,    0.829,    0.484,    0.014,    0.002
195-204  ,         ,    1.279,    1.251,    0.802,    0.308,    0.009,    0.002
205-214  ,         ,    1.450,    0.893,    0.325,    0.095,    0.005,    0.000
215-224  ,         ,    1.012,    0.371,    0.112,    0.037,    0.003,    0.000
225-234  ,         ,    0.551,    0.189,    0.068,    0.020,    0.002,    0.000
235-244  ,         ,    0.308,    0.121,    0.038,    0.015,    0.002,    0.000
245-254  ,         ,    0.256,    0.117,    0.038,    0.025,    0.002,    0.001
255-264  ,         ,    0.304,    0.143,    0.062,    0.026,    0.006,    0.001
265-274  ,         ,    0.436,    0.226,    0.093,    0.042,    0.004,    0.001
275-284  ,         ,    0.551,    0.223,    0.097,    0.034,    0.002,    0.001
285-294  ,         ,    0.701,    0.223,    0.089,    0.041,    0.002,    0.000
295-304  ,         ,    0.873,    0.208,    0.064,    0.016,    0.001,    0.000
305-314  ,         ,    1.128,    0.212,    0.046,    0.015,    0.000,    0.000
315-324  ,         ,    1.533,    0.304,    0.057,    0.012,    0.000,    0.000
325-334  ,         ,    1.933,    0.508,    0.099,    0.030,    0.001,    0.000
335-344  ,         ,    1.765,    0.755,    0.288,    0.091,    0.000,    0.000
345-354  ,         ,    1.730,    0.636,    0.381,    0.291,    0.007,    0.000
