RegionalMember,Year,Inflation,Unit of Measurement, Subregion, Country Code
Developing Asia,2019,3.2,%,,
Developing Asia,2020,3.2,%,,
Developing Asia,2021,2.6,%,,
Developing Asia,2022,4.4,%,,
Developing Asia,2023,3.3,%,,
Developing Asia,2024 forecast,3.2,%,,
Developing Asia,2025 forecast,3,%,,
Developing Asia excluding the PRC,2019,3.5,%,,
Developing Asia excluding the PRC,2020,3.9,%,,
Developing Asia excluding the PRC,2021,4.2,%,,
Developing Asia excluding the PRC,2022,6.8,%,,
Developing Asia excluding the PRC,2023,6.3,%,,
Developing Asia excluding the PRC,2024 forecast,5.1,%,,
Developing Asia excluding the PRC,2025 forecast,4.4,%,,
Caucasus and Central Asia,2019,6.8,%,Central Asia,
Caucasus and Central Asia,2020,7.4,%,Central Asia,
Caucasus and Central Asia,2021,9.6,%,Central Asia,
Caucasus and Central Asia,2022,12.9,%,Central Asia,
Caucasus and Central Asia,2023,10.5,%,Central Asia,
Caucasus and Central Asia,2024 forecast,7.9,%,Central Asia,
Caucasus and Central Asia,2025 forecast,7,%,Central Asia,
Armenia,2019,1.4,%,Central Asia,ARM
Armenia,2020,1.2,%,Central Asia,ARM
Armenia,2021,7.2,%,Central Asia,ARM
Armenia,2022,8.6,%,Central Asia,ARM
Armenia,2023,2,%,Central Asia,ARM
Armenia,2024 forecast,3,%,Central Asia,ARM
Armenia,2025 forecast,3.5,%,Central Asia,ARM
Azerbaijan,2019,2.6,%,Central Asia,AZE
Azerbaijan,2020,2.8,%,Central Asia,AZE
Azerbaijan,2021,6.7,%,Central Asia,AZE
Azerbaijan,2022,13.9,%,Central Asia,AZE
Azerbaijan,2023,8.8,%,Central Asia,AZE
Azerbaijan,2024 forecast,5.5,%,Central Asia,AZE
Azerbaijan,2025 forecast,6.5,%,Central Asia,AZE
Georgia,2019,4.9,%,Central Asia,GEO
Georgia,2020,5.2,%,Central Asia,GEO
Georgia,2021,9.6,%,Central Asia,GEO
Georgia,2022,11.9,%,Central Asia,GEO
Georgia,2023,2.5,%,Central Asia,GEO
Georgia,2024 forecast,3.5,%,Central Asia,GEO
Georgia,2025 forecast,4,%,Central Asia,GEO
Kazakhstan,2019,5.3,%,Central Asia,KAZ
Kazakhstan,2020,6.8,%,Central Asia,KAZ
Kazakhstan,2021,8,%,Central Asia,KAZ
Kazakhstan,2022,15,%,Central Asia,KAZ
Kazakhstan,2023,14.5,%,Central Asia,KAZ
Kazakhstan,2024 forecast,8.7,%,Central Asia,KAZ
